ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,DATES,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_submodels,spatially_interpolated,apples,bananas,beans,bread,bulgur,cabbage,carrots,cassava,cassava_flour,cassava_meal,cheese,chickpeas,cocoyam,cowpeas,cucumbers,dates,eggplants,gari,garlic,groundnuts,lentils,maize,maize_flour,maize_meal,milk,millet,oil,onions,oranges,parsley,pasta,peas,plantains,potatoes,pulses,rice,salt,salt_iodised,sesame,sorghum,spinach,sugar,tea,tomatoes,tomatoes_paste,watermelons,wheat,wheat_flour,yam,yogurt,o_imp_apples,h_imp_apples,l_imp_apples,c_imp_apples,o_imp_bananas,h_imp_bananas,l_imp_bananas,c_imp_bananas,o_imp_beans,h_imp_beans,l_imp_beans,c_imp_beans,o_imp_bread,h_imp_bread,l_imp_bread,c_imp_bread,o_imp_bulgur,h_imp_bulgur,l_imp_bulgur,c_imp_bulgur,o_imp_cabbage,h_imp_cabbage,l_imp_cabbage,c_imp_cabbage,o_imp_carrots,h_imp_carrots,l_imp_carrots,c_imp_carrots,o_imp_cassava,h_imp_cassava,l_imp_cassava,c_imp_cassava,o_imp_cassava_flour,h_imp_cassava_flour,l_imp_cassava_flour,c_imp_cassava_flour,o_imp_cassava_meal,h_imp_cassava_meal,l_imp_cassava_meal,c_imp_cassava_meal,o_imp_cheese,h_imp_cheese,l_imp_cheese,c_imp_cheese,o_imp_chickpeas,h_imp_chickpeas,l_imp_chickpeas,c_imp_chickpeas,o_imp_cocoyam,h_imp_cocoyam,l_imp_cocoyam,c_imp_cocoyam,o_imp_cowpeas,h_imp_cowpeas,l_imp_cowpeas,c_imp_cowpeas,o_imp_cucumbers,h_imp_cucumbers,l_imp_cucumbers,c_imp_cucumbers,o_imp_dates,h_imp_dates,l_imp_dates,c_imp_dates,o_imp_eggplants,h_imp_eggplants,l_imp_eggplants,c_imp_eggplants,o_imp_gari,h_imp_gari,l_imp_gari,c_imp_gari,o_imp_garlic,h_imp_garlic,l_imp_garlic,c_imp_garlic,o_imp_groundnuts,h_imp_groundnuts,l_imp_groundnuts,c_imp_groundnuts,o_imp_lentils,h_imp_lentils,l_imp_lentils,c_imp_lentils,o_imp_maize,h_imp_maize,l_imp_maize,c_imp_maize,o_imp_maize_flour,h_imp_maize_flour,l_imp_maize_flour,c_imp_maize_flour,o_imp_maize_meal,h_imp_maize_meal,l_imp_maize_meal,c_imp_maize_meal,o_imp_milk,h_imp_milk,l_imp_milk,c_imp_milk,o_imp_millet,h_imp_millet,l_imp_millet,c_imp_millet,o_imp_oil,h_imp_oil,l_imp_oil,c_imp_oil,o_imp_onions,h_imp_onions,l_imp_onions,c_imp_onions,o_imp_oranges,h_imp_oranges,l_imp_oranges,c_imp_oranges,o_imp_parsley,h_imp_parsley,l_imp_parsley,c_imp_parsley,o_imp_pasta,h_imp_pasta,l_imp_pasta,c_imp_pasta,o_imp_peas,h_imp_peas,l_imp_peas,c_imp_peas,o_imp_plantains,h_imp_plantains,l_imp_plantains,c_imp_plantains,o_imp_potatoes,h_imp_potatoes,l_imp_potatoes,c_imp_potatoes,o_imp_pulses,h_imp_pulses,l_imp_pulses,c_imp_pulses,o_imp_rice,h_imp_rice,l_imp_rice,c_imp_rice,o_imp_salt,h_imp_salt,l_imp_salt,c_imp_salt,o_imp_salt_iodised,h_imp_salt_iodised,l_imp_salt_iodised,c_imp_salt_iodised,o_imp_sesame,h_imp_sesame,l_imp_sesame,c_imp_sesame,o_imp_sorghum,h_imp_sorghum,l_imp_sorghum,c_imp_sorghum,o_imp_spinach,h_imp_spinach,l_imp_spinach,c_imp_spinach,o_imp_sugar,h_imp_sugar,l_imp_sugar,c_imp_sugar,o_imp_tea,h_imp_tea,l_imp_tea,c_imp_tea,o_imp_tomatoes,h_imp_tomatoes,l_imp_tomatoes,c_imp_tomatoes,o_imp_tomatoes_paste,h_imp_tomatoes_paste,l_imp_tomatoes_paste,c_imp_tomatoes_paste,o_imp_watermelons,h_imp_watermelons,l_imp_watermelons,c_imp_watermelons,o_imp_wheat,h_imp_wheat,l_imp_wheat,c_imp_wheat,o_imp_wheat_flour,h_imp_wheat_flour,l_imp_wheat_flour,c_imp_wheat_flour,o_imp_yam,h_imp_yam,l_imp_yam,c_imp_yam,o_imp_yogurt,h_imp_yogurt,l_imp_yogurt,c_imp_yogurt,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index
AFG,Afghanistan,Badakhshan,Argo,Badakhshan,37.03785,70.45621,gid_370378704562,2007-01-01,2007,1,AFN,"bread (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), wheat (1 KG, Index Weight = 1)",Jan-07,Nov-22,77.07,39.81,0.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.56,32.38,30.74,31.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.74,25.04,23.89,23.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.87,15.63,14.35,14.98,,,,,,,,,,,,,0.64,0.66,0.63,0.64
AFG,Afghanistan,Badakhshan,Argo,Badakhshan,37.03785,70.45621,gid_370378704562,2007-02-01,2007,2,AFN,"bread (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), wheat (1 KG, Index Weight = 1)",Jan-07,Nov-22,77.07,39.81,0.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.62,32.44,30.8,31.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.69,25.27,24.11,23.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,15.74,14.46,15.23,,,,,,,,,,,,,0.65,0.66,0.63,0.64
AFG,Afghanistan,Badakhshan,Argo,Badakhshan,37.03785,70.45621,gid_370378704562,2007-03-01,2007,3,AFN,"bread (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), wheat (1 KG, Index Weight = 1)",Jan-07,Nov-22,77.07,39.81,0.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.35,32.23,30.47,31.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.84,24.48,23.19,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.42,16.13,14.71,15.97,,,,,,,,,,,,,0.64,0.65,0.62,0.65
AFG,Afghanistan,Badakhshan,Argo,Badakhshan,37.03785,70.45621,gid_370378704562,2007-04-01,2007,4,AFN,"bread (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), wheat (1 KG, Index Weight = 1)",Jan-07,Nov-22,77.07,39.81,0.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.91,31.82,30,31.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.09,26.42,25.76,28.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.42,17.14,15.7,15.97,,,,,,,,,,,,,0.66,0.68,0.65,0.68
AFG,Afghanistan,Badakhshan,Argo,Badakhshan,37.03785,70.45621,gid_370378704562,2007-05-01,2007,5,AFN,"bread (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), wheat (1 KG, Index Weight = 1)",Jan-07,Nov-22,77.07,39.81,0.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.05,31.99,30.1,32.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.79,30.77,28.81,32.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.89,16.62,15.16,14.59,,,,,,,,,,,,,0.7,0.71,0.68,0.72
AFG,Afghanistan,Badakhshan,Argo,Badakhshan,37.03785,70.45621,gid_370378704562,2007-06-01,2007,6,AFN,"bread (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), wheat (1 KG, Index Weight = 1)",Jan-07,Nov-22,77.07,39.81,0.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.86,33.65,32.06,32.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.18,35.39,32.98,36.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14.35,13.66,13.93,,,,,,,,,,,,,0.74,0.75,0.73,0.75
AFG,Afghanistan,Badakhshan,Argo,Badakhshan,37.03785,70.45621,gid_370378704562,2007-07-01,2007,7,AFN,"bread (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), wheat (1 KG, Index Weight = 1)",Jan-07,Nov-22,77.07,39.81,0.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.01,32.82,31.2,32.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.49,39.96,37.02,39.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79,14.29,13.29,13.13,,,,,,,,,,,,,0.77,0.79,0.75,0.77
AFG,Afghanistan,Badakhshan,Argo,Badakhshan,37.03785,70.45621,gid_370378704562,2007-08-01,2007,8,AFN,"bread (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), wheat (1 KG, Index Weight = 1)",Jan-07,Nov-22,77.07,39.81,0.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.32,33.21,31.44,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.36,42.6,40.12,38.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.76,13.21,12.32,13.94,,,,,,,,,,,,,0.79,0.81,0.77,0.77
AFG,Afghanistan,Badakhshan,Argo,Badakhshan,37.03785,70.45621,gid_370378704562,2007-09-01,2007,9,AFN,"bread (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), wheat (1 KG, Index Weight = 1)",Jan-07,Nov-22,77.07,39.81,0.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.35,34.26,32.45,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,39.57,36.83,35.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65,14.97,14.33,14.38,,,,,,,,,,,,,0.78,0.8,0.76,0.76
AFG,Afghanistan,Badakhshan,Argo,Badakhshan,37.03785,70.45621,gid_370378704562,2007-10-01,2007,10,AFN,"bread (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), wheat (1 KG, Index Weight = 1)",Jan-07,Nov-22,77.07,39.81,0.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.88,35.78,33.97,35.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.22,35.71,32.73,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.37,14.67,14.08,15.08,,,,,,,,,,,,,0.75,0.77,0.74,0.79
